Sno,Route_id,from_station,to_station,Start_coordinates,Via_coordinates,End_coordinates,Distance,Duration,Time_slot,Route_description,Create_user,Create_date,Modified_user,Modified_date
1,R01,cgs_harua,rameshwar,"27.1766701,78.0080745",,"27.1766701,78.0080745",49,76,anytime,"""CGS HARHUA RING ROAD RAJATALAB RING ROAD MOHANSARAI-  GT ROAD -RAMNAGAR ROAD -KODOPUR """,ritik,6/17/2024 13:50,NULL,6/17/2024 13:50
2,R03,upsidc,sanchetna,"27.1766701,78.0080745",,"27.1766701,78.0080745",20,32,anytime,KARKHIYAON-PHOOLPUR- PINDRA - BABATPUR,ritik,6/17/2024 13:53,NULL,6/17/2024 13:53
3,R04,cgs_harua,vishnu,"27.1766701,78.0080745",,"27.1766701,78.0080745",20,28,anytime,CGS - HARHUA RING ROAD  CHAURAHA - RING ROAD CHAUK RAJATALAB,ritik,6/17/2024 13:53,NULL,6/17/2024 13:53
4,R05,cgs_harua,mirzamurad,"27.1766701,78.0080745",,"28.5671424,77.3685248",27,38,anytime,CGS - HARHUA RING ROAD  CHAURAHA - RING ROAD CHAUK RAJATALAB-ALLAHABAD ROAD -MIRZAMURAD ,ritik,6/17/2024 13:54,NULL,6/17/2024 13:54
5,R06,cgs_harua,reliance_bp,"27.1766701,78.0080745",,"27.1766701,78.0080745",39,60,anytime,CGS - HARHUA RING ROAD  CHAURAHA - RING ROAD CHAUK RAJATALAB-ALLAHABAD ROAD -MIRZAMURAD- KACCHWA ,ritik,6/17/2024 13:55,NULL,6/17/2024 13:55
6,R07,cgs_harua,cholapur,"27.1766701,78.0080745",,"27.1766701,78.0080745",14,22,anytime,CGS - HARHUA RING ROAD  CHAURAHA - RING ROAD CHAUK RAJATALAB-ALLAHABAD ROAD -MIRZAMURAD- KACCHWA ,ritik,6/17/2024 13:56,NULL,6/17/2024 13:56
7,R08,cgs_harua,suresh,"27.1766701,78.0080745",,"27.1766701,78.0080745",42,78,anytime,CGS- HARHUA RING ROAD  CHAURAHA -RAJATALAB RING ROAD CAHUK-MOHANSARAI-TENGRA MORE -- AHRAURA ROAD ,ritik,6/17/2024 13:56,NULL,6/17/2024 13:56
8,R09,cgs_harua,mansha,"27.1766701,78.0080745",,"27.1766701,78.0080745",22,34,anytime,CGS - HARHUA RING ROAD  CHAURAHA - RING ROAD CHAUK RAJATALAB -MOHANSARAI - RAJATALAB (NEAR GRAMODYOG  RAJATALAB),ritik,6/17/2024 13:57,NULL,6/17/2024 13:57
9,R10,upsidc,lala_auto,"27.1766701,78.0080745",,"28.5671424,77.3685248",37,50,anytime,KARKHIYAON- RAGHUNATHPUR- BASANI -BADAGAON-KURU-KAPSETHI (TARAPUR),ritik,6/17/2024 13:57,NULL,6/17/2024 13:57
10,R11,cgs_harua,reliance_bp_harua,"27.1766701,78.0080745",,"27.1766701,78.0080745",9,17,anytime,CGS - HARHUA RING ROAD  CHAURAHA,ritik,6/17/2024 14:00,NULL,6/17/2024 14:00
11,R12,cgs_harua,atulya,"27.1766701,78.0080745",,"27.1766701,78.0080745",27,45,anytime,CGS - FARIDPUR -SANDAHA  CHAURAHA -GHAZIPUR ROAD -UMRAHA - CHAUBEYPUR -MOLNAPUR - DHAKHWA,ritik,6/17/2024 14:00,NULL,6/17/2024 14:00
12,R13,cgs_harua,saurav,"27.1766701,78.0080745",,"27.1766701,78.0080745",15,26,anytime,"""CGS - HARHUA RING ROAD  CHAURAHA - SAJOI - BHADOHI ROAD -JANSA  """,ritik,6/17/2024 14:02,NULL,6/17/2024 14:02
13,R02,upsidc,srm_energy,"27.1766701,78.0080745",,"27.1766701,78.0080745",48,67,anytime,"""KARKHIYAON- RAGHUNATHPUR- BASANI -BADAGAON-KURU-TARAPUR- KAPSETHI -LOHAR  DIH - PURSOTTAMPUR""",ritik,6/18/2024 11:49,NULL,6/18/2024 11:49
14,R01_R,rameshwar,cgs_harua,,,,49,76,anytime,,ritik,6/18/2024 13:07,NULL,6/18/2024 13:07
15,R02_R,srm_energy,upsidc,,,,48,67,anytime,,ritik,6/18/2024 13:07,NULL,6/18/2024 13:07
16,R03_R,sanchetna,upsidc,,,,20,32,anytime,,ritik,6/18/2024 13:08,NULL,6/18/2024 13:08
17,R04_R,vishnu,cgs_harua,,,,20,28,anytime,,ritik,6/18/2024 13:08,NULL,6/18/2024 13:08
18,R05_R,mirzamurad,cgs_harua,,,,27,38,anytime,,ritik,6/18/2024 13:10,NULL,6/18/2024 13:10
19,R06_R,reliance_bp,cgs_harua,,,,39,60,anytime,,ritik,6/18/2024 13:12,NULL,6/18/2024 13:12
20,R07_R,cholapur,cgs_harua,,,,14,22,anytime,,ritik,6/18/2024 13:12,NULL,6/18/2024 13:12
21,R08_R,suresh,cgs_harua,,,,42,78,anytime,,ritik,6/18/2024 13:12,NULL,6/18/2024 13:12
22,R09_R,mansha,cgs_harua,,,,22,34,anytime,,ritik,6/18/2024 13:13,NULL,6/18/2024 13:13
23,R10_R,lala_auto,upsidc,,,,37,50,anytime,,ritik,6/18/2024 13:13,NULL,6/18/2024 13:13
24,R11_R,reliance_bp_harua,cgs_harua,,,,9,17,anytime,,ritik,6/18/2024 13:15,NULL,6/18/2024 13:15
25,R12_R,atulya,cgs_harua,,,,27,45,anytime,,ritik,6/18/2024 13:17,NULL,6/18/2024 13:17
26,R13_R,saurav,cgs_harua,,,,15,26,anytime,,ritik,6/18/2024 13:18,NULL,6/18/2024 13:18
27,R14,saurav,mansha,,,,15,30,anytime,,ritik,6/18/2024 13:21,NULL,6/18/2024 13:21
28,R14_R,mansha,saurav,,,,15,30,anytime,,ritik,6/18/2024 13:21,NULL,6/18/2024 13:21
29,R15,saurav,rameshwar,,,,40,70,anytime,,ritik,6/18/2024 13:23,NULL,6/18/2024 13:23
30,R15_R,rameshwar,saurav,,,,40,70,anytime,,ritik,6/18/2024 13:23,NULL,6/18/2024 13:23
31,R16_R,vishnu,saurav,,,,10,18,anytime,,ritik,6/18/2024 13:25,NULL,6/18/2024 13:25
