Sno,Request_id,Notification_Id,MGS,DBS,LCV_Num,Transaction_Id,Route_Duration,Route_distance,Status,Operator_id,Allocation_date,Modifier_operator_id,Modified_date
19,38sanchetna240713122257,11,upsidc,sanchetna,UP80HT5145,UP80HT5145upsidc240713113710,22,12,Reached,Scheduling Engine,7/13/2024 6:53,NULL,8/21/2024 8:44
20,39atulya240713012006,12,cgs_harua,atulya,UP80JT1056,UP80JT1056cgs_harua240713115817,45,27,Reached,Scheduling Engine,7/13/2024 7:50,NULL,8/21/2024 8:44
21,40mirzamurad240713012037,13,cgs_harua,mirzamurad,UP80HT5299,UP80HT5299cgs_harua240713121156,38,27,Reached,Scheduling Engine,7/13/2024 7:50,NULL,8/21/2024 8:44
22,41saurav240713022952,20,cgs_harua,saurav,UP80HT5137,UP80HT5137cgs_harua240713010409,26,15,Reached,Scheduling Engine,7/13/2024 8:59,NULL,8/21/2024 8:44
23,42rameshwar240713023027,26,cgs_harua,rameshwar,UP80HT5397,UP80HT5397cgs_harua240713010250,76,49,Reached,Scheduling Engine,7/13/2024 9:00,NULL,8/21/2024 8:44
24,43vishnu240713031247,31,cgs_harua,vishnu,UP80HT5139,UP80HT5139cgs_harua240713020608,28,20,Reached,Scheduling Engine,7/13/2024 9:43,NULL,8/21/2024 8:44
25,44sanchetna240713035237,40,upsidc,sanchetna,UP65KT8525,UP65KT8525upsidc240713023202,32,20,Reached,Scheduling Engine,7/13/2024 10:28,NULL,8/21/2024 8:44
26,45suresh240713040853,41,cgs_harua,suresh,GJ18BT9112,GJ18BT9112cgs_harua240713020800,78,42,Reached,Scheduling Engine,7/13/2024 10:39,NULL,8/21/2024 8:44
27,46cholapur240713050748,44,cgs_harua,cholapur,UP80HT5138,UP80HT5138cgs_harua240713025839,22,14,Reached,Scheduling Engine,7/13/2024 11:38,NULL,8/21/2024 8:44
28,47vishnu240713050925,47,cgs_harua,vishnu,UP80HT5144,UP80HT5144cgs_harua240713035944,28,20,Reached,Scheduling Engine,7/13/2024 11:39,NULL,8/21/2024 8:44
